Op	InType	OutType	Template	DesignStat	DPD	TWDFR
dotnet_shift_right_by_5	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_right_by_5	signed64	signed64	sync	impl	1,036	-0,074
dotnet_shift_left_by_5	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_left_by_5	signed32	signed32	sync	impl	0,787	-0,098
dotnet_shift_right_by_5	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_right_by_5	signed32	signed32	sync	impl	1,087	-0,066
mul_by_32	unsigned8	unsigned8	sync	impl	0,775	-0,042
mul_by_32	unsigned16	unsigned16	sync	impl	0,846	-0,042
mul_by_32	unsigned32	unsigned32	sync	impl	0,787	-0,098
mul_by_32	unsigned64	unsigned64	sync	impl	0,787	-0,098
mul_by_32	signed8	signed8	sync	impl	0,775	-0,042
mul_by_32	signed16	signed16	sync	impl	0,846	-0,042
mul_by_32	signed32	signed32	sync	impl	0,787	-0,098
mul_by_32	signed64	signed64	sync	impl	0,787	-0,098
div_by_32	unsigned8	unsigned8	sync	impl	0,736	-0,071
div_by_32	unsigned16	unsigned16	sync	impl	0,802	-0,071
div_by_32	unsigned32	unsigned32	sync	impl	0,787	-0,098
div_by_32	unsigned64	unsigned64	sync	impl	0,809	-0,098
div_by_32	signed8	signed8	sync	impl	2,411	-0,071
div_by_32	signed16	signed16	sync	impl	3,747	-0,100
div_by_32	signed32	signed32	sync	impl	4,864	-0,165
div_by_32	signed64	signed64	sync	impl	4,906	-0,099
dotnet_shift_left_by_6	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_left_by_6	signed64	signed64	sync	impl	0,809	-0,098
dotnet_shift_right_by_6	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_right_by_6	signed64	signed64	sync	impl	1,147	-0,073
dotnet_shift_left_by_6	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_left_by_6	signed32	signed32	sync	impl	0,787	-0,098
dotnet_shift_right_by_6	unsigned32	unsigned32	sync	impl	0,813	-0,085
